"Artist","Title","Description","Year","Medium","Dimensions","Copyright","Credit","Department","Floor","Room","Image_Hyperlink","Art_id","View_Status"
"Lee Lozano","Untitled (Tool)","In 2018–19, MoMA collaborated with Google Arts & Culture Lab on a project using machine learning to identify artworks in installation photos. That project has concluded, and works are now being identified by MoMA staff.
If you notice an error, please contact us at [email protected].","c. 1964","Pencil and crayon on paper","10 x 29"" (25.4 x 73.7 cm)","© 2022 Estate of Lee Lozano","The Judith Rothschild Foundation Contemporary Drawings Collection Gift","Drawings and Prints"," Floor 4"," 412","https://www.moma.org/media/W1siZiIsIjExNzk5NyJdLFsicCIsImNvbnZlcnQiLCItcXVhbGl0eSA5MCAtcmVzaXplIDIwMDB4MTQ0MFx1MDAzZSJdXQ.jpg?sha=9529e9be229edfdf","96566","On view"
"Raymond Pettibon","No Title (Fuck the world.)","In 2018–19, MoMA collaborated with Google Arts & Culture Lab on a project using machine learning to identify artworks in installation photos. That project has concluded, and works are now being identified by MoMA staff.
If you notice an error, please contact us at [email protected].","1987","Ink and watercolor on paper","23 x 14 1/2"" (58.4 x 36.8 cm)","© 2022 Raymond Pettibon","The Judith Rothschild Foundation Contemporary Drawings Collection Gift","Drawings and Prints"," Floor 2"," 207","https://www.moma.org/media/W1siZiIsIjEyOTkwNCJdLFsicCIsImNvbnZlcnQiLCItcXVhbGl0eSA5MCAtcmVzaXplIDIwMDB4MTQ0MFx1MDAzZSJdXQ.jpg?sha=63bc2f73be51051a","97004","On view"
"Raymond Pettibon","No Title (Vavoom a beautiful...)","In 2018–19, MoMA collaborated with Google Arts & Culture Lab on a project using machine learning to identify artworks in installation photos. That project has concluded, and works are now being identified by MoMA staff.
If you notice an error, please contact us at [email protected].","1987","Ink on paper","24 x 18"" (61 x 45.7 cm)","© 2022 Raymond Pettibon","The Judith Rothschild Foundation Contemporary Drawings Collection Gift","Drawings and Prints"," Floor 2"," 207","https://www.moma.org/media/W1siZiIsIjEyOTkwNSJdLFsicCIsImNvbnZlcnQiLCItcXVhbGl0eSA5MCAtcmVzaXplIDIwMDB4MTQ0MFx1MDAzZSJdXQ.jpg?sha=f47ff5b39bf130ee","97007","On view"
"Raymond Pettibon","No Title (I have picked...)","In 2018–19, MoMA collaborated with Google Arts & Culture Lab on a project using machine learning to identify artworks in installation photos. That project has concluded, and works are now being identified by MoMA staff.
If you notice an error, please contact us at [email protected].","1991","Ink and colored ink on paper","12 x 9"" (30.5 x 22.9 cm)","© 2022 Raymond Pettibon","The Judith Rothschild Foundation Contemporary Drawings Collection Gift","Drawings and Prints"," Floor 2"," 207","https://www.moma.org/media/W1siZiIsIjEyOTkwNyJdLFsicCIsImNvbnZlcnQiLCItcXVhbGl0eSA5MCAtcmVzaXplIDIwMDB4MTQ0MFx1MDAzZSJdXQ.jpg?sha=ffba7dd6c3d37e16","97014","On view"
"Raymond Pettibon","No Title (Come and praise...)","In 2018–19, MoMA collaborated with Google Arts & Culture Lab on a project using machine learning to identify artworks in installation photos. That project has concluded, and works are now being identified by MoMA staff.
If you notice an error, please contact us at [email protected].","2001","Ink, colored ink, and watercolor on paper","18 x 22"" (45.7 x 55.9 cm)","© 2022 Raymond Pettibon","The Judith Rothschild Foundation Contemporary Drawings Collection Gift","Drawings and Prints"," Floor 2"," 207","https://www.moma.org/media/W1siZiIsIjE1Mjg0NSJdLFsicCIsImNvbnZlcnQiLCItcXVhbGl0eSA5MCAtcmVzaXplIDIwMDB4MTQ0MFx1MDAzZSJdXQ.jpg?sha=6d09ed2887c78dba","97015","On view"
"Edward Hoole","Preston, England","In 2018–19, MoMA collaborated with Google Arts & Culture Lab on a project using machine learning to identify artworks in installation photos. That project has concluded, and works are now being identified by MoMA staff.
If you notice an error, please contact us at [email protected].","c. 1900","Gelatin silver printing-out-paper print","14 9/16 × 11 9/16"" (37 × 29.3 cm)","","Acquired through the generosity of Pierre N. Leval","Photography"," Floor 5"," 501","https://www.moma.org/media/W1siZiIsIjIxNjUwNCJdLFsicCIsImNvbnZlcnQiLCItcXVhbGl0eSA5MCAtcmVzaXplIDIwMDB4MTQ0MFx1MDAzZSJdXQ.jpg?sha=99023c2ed3adca38","98505","On view"
"Robert Rauschenberg","Rebus","Rauschenberg described Rebus as “a record of the immediate environment and time.” A collection of words and images, it constitutes a kind of unsolvable puzzle. The materials, found in the neighborhood around his studio, include comic strips, fabric remnants, a museum poster, and a drawing by his friend the artist Cy Twombly. The work functions as both portrait and landscape, recording the artist’s creative impulses at the moment of its making, while also using materials drawn from mass media.

		Gallery label from 2020.
	




        Additional text






Rebus belongs to a body of work in which Rauschenberg integrated three-dimensional objects with two-dimensional paintings. His friend Jasper Johns coined the term Combine for such works, describing them as “painting playing the game of sculpture.” Made from layers of everyday materials found in the neighborhood of his Lower Manhattan studio (comic strips, political posters, fabric, and drawings), this work maintains a flatter, sparser surface than most of the artist’s Combines.

		Gallery label from 2011.","1955","Oil, alkyd paint, pencil, crayon, pastel, cut-and-pasted printed and painted papers, and fabric on canvas mounted and stapled to fabric, three panels","8' x 10' 11 1/8"" (243.8 x 333.1 cm)","© 2022 Robert Rauschenberg Foundation","Partial and promised gift of Jo Carole and Ronald S. Lauder and bequest of Virginia C. Field, gift of Mr. and Mrs. Peter A. Rübel, and gift of Jay R. Braus (all by exchange)","Painting and Sculpture"," Floor 4"," 408","https://www.moma.org/media/W1siZiIsIjM3NTAwNCJdLFsicCIsImNvbnZlcnQiLCItcXVhbGl0eSA5MCAtcmVzaXplIDIwMDB4MTQ0MFx1MDAzZSJdXQ.jpg?sha=17d483a7ea7be817","98673","On view"
"Bridget Riley","Untitled (Fragment 1) from Fragments","In 2018–19, MoMA collaborated with Google Arts & Culture Lab on a project using machine learning to identify artworks in installation photos. That project has concluded, and works are now being identified by MoMA staff.
If you notice an error, please contact us at [email protected].","1965","Screenprint on Plexiglas","composition: 18 3/8 x 25"" (46.7 x 63.5 cm); sheet: 26 1/2 x 33"" (67.3 x 83.8 cm)","© 2022 Bridget Riley","Edward John Noble Foundation Fund","Drawings and Prints"," Floor 4"," 407","https://www.moma.org/media/W1siZiIsIjQ5NDAzMSJdLFsicCIsImNvbnZlcnQiLCItcXVhbGl0eSA5MCAtcmVzaXplIDIwMDB4MTQ0MFx1MDAzZSJdXQ.jpg?sha=34432b290a7be689","99701","On view"
"Winka Dubbeldam","From Hardware to Softform, project (Armature model)","In 2018–19, MoMA collaborated with Google Arts & Culture Lab on a project using machine learning to identify artworks in installation photos. That project has concluded, and works are now being identified by MoMA staff.
If you notice an error, please contact us at [email protected].","2002","Acrylic","13 x 6 x 20"" (33 x 15.2 x 50.8 cm)","© 2022 Winka Dubbledam","Barbara Pine Purchase Fund and gift of Frederieke Taylor","Architecture and Design"," Floor 2"," 216","https://www.moma.org/media/W1siZiIsIjQ0MDU1MSJdLFsicCIsImNvbnZlcnQiLCItcXVhbGl0eSA5MCAtcmVzaXplIDIwMDB4MTQ0MFx1MDAzZSJdXQ.jpg?sha=19de97e5ce6fff34","100100","On view"
"Philip Guston","Gladiators","Guston created Gladiators in a style that merged Renaissance figure painting with what he called “cubist conceptions of space.” While working on Gladiators, Guston was also painting murals in New York as a part of a Works Progress Administration program. The theme of fighting children seen here is adapted from Work and Play, a mural the artist completed in the lobby of the Queensbridge housing project in Long Island City, Queens, in 1940. Soon thereafter, Guston transitioned away from murals to the easel painting and abstract works for which he would later gain prominence.

		Gallery label from 2021","1940","Oil and pencil on canvas","24 1/2 x 28 1/8"" (62.2 x 71.4 cm)","© 2022 The Estate of Philip Guston","Gift of Edward R. Broida","Painting and Sculpture"," Floor 4"," 402","https://www.moma.org/media/W1siZiIsIjE1MTQ2NiJdLFsicCIsImNvbnZlcnQiLCItcXVhbGl0eSA5MCAtcmVzaXplIDIwMDB4MTQ0MFx1MDAzZSJdXQ.jpg?sha=90a05f049e2e3301","100241","On view"
"Charles Marville","Parc Monceau (Lacarrière Model with Globe)","In 2018–19, MoMA collaborated with Google Arts & Culture Lab on a project using machine learning to identify artworks in installation photos. That project has concluded, and works are now being identified by MoMA staff.
If you notice an error, please contact us at [email protected].","1870s","Albumen silver print","13 3/16 × 9 1/2"" (33.6 × 24.2 cm)","","Acquired through the generosity of Charles Heilbronn","Photography"," Floor 5"," 501","https://www.moma.org/media/W1siZiIsIjIwMTI5NCJdLFsicCIsImNvbnZlcnQiLCItcXVhbGl0eSA5MCAtcmVzaXplIDIwMDB4MTQ0MFx1MDAzZSJdXQ.jpg?sha=176091232598cf17","101410","On view"
"Charles Marville","Streetlamp, Oudry Model","In 2018–19, MoMA collaborated with Google Arts & Culture Lab on a project using machine learning to identify artworks in installation photos. That project has concluded, and works are now being identified by MoMA staff.
If you notice an error, please contact us at [email protected].","1870s","Albumen silver print","13 9/16 × 9"" (34.5 × 23 cm)","","Lois and Bruce Zenkel Fund","Photography"," Floor 5"," 501","https://www.moma.org/media/W1siZiIsIjIwMTI5NiJdLFsicCIsImNvbnZlcnQiLCItcXVhbGl0eSA5MCAtcmVzaXplIDIwMDB4MTQ0MFx1MDAzZSJdXQ.jpg?sha=57c2f189d3ff994e","101411","On view"
"Charles Marville","Louvre (Passage to the Library)","In 2018–19, MoMA collaborated with Google Arts & Culture Lab on a project using machine learning to identify artworks in installation photos. That project has concluded, and works are now being identified by MoMA staff.
If you notice an error, please contact us at [email protected].","1870s","Albumen silver print","14 1/8 × 8 15/16"" (36 × 22.8 cm)","","Acquired through the generosity of Robert J. Fisher","Photography"," Floor 5"," 501","https://www.moma.org/media/W1siZiIsIjIwMTI5OSJdLFsicCIsImNvbnZlcnQiLCItcXVhbGl0eSA5MCAtcmVzaXplIDIwMDB4MTQ0MFx1MDAzZSJdXQ.jpg?sha=f89096b47eda0300","101413","On view"
"Carmen Herrera","Untitled","Herrera’s life is divided between Cuba and New York, but it was in Paris that her work took its most decisive turn. In dialogue with older avant-garde artists like Piet Mondrian as well as artists of her own generation, like Ellsworth Kelly, whose work took a similar turn in Paris, Herrera developed a visual language of hard edges, limited colors, and simple geometric shapes. Her breakthrough moment arrived via three black-and-white paintings—including _Untitled_—with which she announced her dedication to the stark abstraction that would become her lifelong calling. Afterward, she said, “I never met a straight line I did not like.”

		Gallery label from ""Collection 1940s—1970s"", 2019
	




        Additional text






To make this work, Herrera painted vertical bands of black and white at varying lengths and with diagonal breaks that create a two-tone zigzag pattern. She extended her pattern to the face and sides of the frame, giving the object a sense of dynamic totality. ""I began a lifelong process of purification, a process of taking away what isn't essential,"" she explained. Although active in Paris and New York from the late 1940s on, she did not sell a painting until 2004, at the age of eighty-nine. She has recalled that one dealer bluntly told her, ""You can paint circles around the male artists that I have, but I'm not going to give you a show because you're a woman.""

		Gallery label from Making Space: Women Artists and Postwar Abstraction, April 19 - August 13, 2017.","1952","Acrylic on canvas","25 x 60"" (63.5 x 152.4 cm)","© Carmen Herrera","Gift of Agnes Gund and Tony Bechara","Painting and Sculpture"," Floor 4"," 406","https://www.moma.org/media/W1siZiIsIjE3NzM0OSJdLFsicCIsImNvbnZlcnQiLCItcXVhbGl0eSA5MCAtcmVzaXplIDIwMDB4MTQ0MFx1MDAzZSJdXQ.jpg?sha=fe59ad652ad610a5","101471","On view"
"Cady Noland","THE AMERICAN TRIP.","Noland takes as a starting point the idea that the United States has historically embraced violence. “Violence used to be a part of life in America and had a positive reputation. . . . There was a kind of righteousness about violence—the break with England, fighting for our rights, the Boston Tea Party,” she has said. Through her sculptures, the artist asserts that this national connection to violence is by no means strictly in the past.
THE AMERICAN TRIP is an assemblage of objects that subtly allude to the relationship between statehood and violence. From a metal bar supported by three irregularly spaced stanchions hang chrome cuffs, leather straps once attached to police batons, and a wire hunting trap. Noland has paired the American Stars and Stripes with the Jolly Roger skull-and-crossbones flag that is traditionally associated with pirates. A white cane, which rests at an angle as if to take up more space, might be read as a symbol of the moral blindness of US policies. Made in the late 1980s, THE AMERICAN TRIP presents an art-historical reference to the industrial materials of 1960s Minimalist sculpture, but it departs from its abstract predecessors through its explicitly political commentary and potent psychological charge.

		Publication excerpt from MoMA Highlights: 375 Works from The Museum of Modern Art, New York (New York: The Museum of Modern Art, 2019)
	




        Additional text






“Violence used to be a part of life in America,” Noland has said. “There was a kind of righteousness about violence—the break with England, fighting for our rights, the Boston Tea Party. Now, in our culture as it is . . . acts of violence, expressions of dissatisfaction are framed . . . as being ‘abnormal.’” In this work, the artist has assembled objects that point to the ways violence, far from an abnormality, continues to order life in the United States. Leather straps from police batons dangle  from a galvanized steel pipe; a wire hunting trap is positioned beside a pirate flag and the American flag, its bottommost corner skimming the ground; and a cane for the blind hangs diagonally, perhaps symbolizing the moral blindness of US policies.

		Gallery label from 2020","1988","Wire racks, steel pipes, chrome cuffs, American flag, pirate flag, leather straps, cane, and metal parts","45"" x 8' 8"" x 57"" (114.3 x 264.2 x 144.8 cm)","","Purchase","Painting and Sculpture"," Floor 2"," 207","https://www.moma.org/media/W1siZiIsIjExNjYzOSJdLFsicCIsImNvbnZlcnQiLCItcXVhbGl0eSA5MCAtcmVzaXplIDIwMDB4MTQ0MFx1MDAzZSJdXQ.jpg?sha=80fbbbfc676ec9d6","101477","On view"
"Sérgio Camargo","Edge","In this work Camargo highlights an optical and kinetic aesthetic without denying the natural features of material roughness: the artist has inserted one of his signature reliefs into the massive, elemental presence of a raw piece of wood. The raw material functions as a sculptural body, supporting the beautiful, vibrating surfaces typical of Camargo's repertoire. A dialogue is established between the body of the sculpture and its surface, between the organic textures of nature and the carefully crafted ornaments of art.

		Gallery label from New Perspectives in Latin American Art, 1930–2006: Selections from a Decade of Acquisitions, November 21, 2007–February 25, 2008.","1962","Painted wood on carved wood","16 3/4 x 10 5/8 x 4"" (42.5 x 27 x 10.2 cm)","","Purchase","Painting and Sculpture"," Floor 4"," 406","https://www.moma.org/media/W1siZiIsIjE5NzkyOSJdLFsicCIsImNvbnZlcnQiLCItcXVhbGl0eSA5MCAtcmVzaXplIDIwMDB4MTQ0MFx1MDAzZSJdXQ.jpg?sha=925bd4cdec1d8f4d","102058","On view"
"Dorothea Tanning","First Peril (Premier péril) from The 7 Spectral Perils (Les 7 périls spectraux)","If you would like to reproduce an image of a work of art in MoMA’s collection, or an image of a MoMA publication or archival material (including installation views, checklists, and press releases), please contact Art Resource (publication in North America) or Scala Archives (publication in all other geographic locations).
MoMA licenses archival audio and select out of copyright film clips from our film collection. At this time, MoMA produced video cannot be licensed by MoMA/Scala. All requests to license archival audio or out of copyright film clips should be addressed to Scala Archives at [email protected]. Motion picture film stills cannot be licensed by MoMA/Scala. For access to motion picture film stills for research purposes, please contact the Film Study Center at [email protected]. For more information about film loans and our Circulating Film and Video Library, please visit https://www.moma.org/research-and-learning/circulating-film.
If you would like to reproduce text from a MoMA publication, please email [email protected]. If you would like to publish text from MoMA’s archival materials, please fill out this permission form and send to [email protected].","1950","One from a portfolio of seven lithographs","composition: 14 3/8 × 10 13/16"" (36.5 × 27.4 cm); sheet: 19 3/4 × 12 13/16"" (50.2 × 32.5 cm)","© 2022 Artists Rights Society (ARS), New York / VG Bild-Kunst, Bonn","Purchase","Drawings and Prints"," Floor 5"," 517","https://www.moma.org/media/W1siZiIsIjE3Nzc3NiJdLFsicCIsImNvbnZlcnQiLCItcXVhbGl0eSA5MCAtcmVzaXplIDIwMDB4MTQ0MFx1MDAzZSJdXQ.jpg?sha=790876df119e0d71","102060","New on view"
"Dorothea Tanning","Second Peril (Deuxième péril) from The 7 Spectral Perils (Les 7 périls spectraux)","If you would like to reproduce an image of a work of art in MoMA’s collection, or an image of a MoMA publication or archival material (including installation views, checklists, and press releases), please contact Art Resource (publication in North America) or Scala Archives (publication in all other geographic locations).
MoMA licenses archival audio and select out of copyright film clips from our film collection. At this time, MoMA produced video cannot be licensed by MoMA/Scala. All requests to license archival audio or out of copyright film clips should be addressed to Scala Archives at [email protected]. Motion picture film stills cannot be licensed by MoMA/Scala. For access to motion picture film stills for research purposes, please contact the Film Study Center at [email protected]. For more information about film loans and our Circulating Film and Video Library, please visit https://www.moma.org/research-and-learning/circulating-film.
If you would like to reproduce text from a MoMA publication, please email [email protected]. If you would like to publish text from MoMA’s archival materials, please fill out this permission form and send to [email protected].","1950","One from a portfolio of seven lithographs","composition (irreg.): 14 3/4 × 10 3/4"" (37.5 × 27.3 cm); sheet: 19 3/4 × 12 13/16"" (50.2 × 32.5 cm)","© 2022 Artists Rights Society (ARS), New York / VG Bild-Kunst, Bonn","Purchase","Drawings and Prints"," Floor 5"," 517","https://www.moma.org/media/W1siZiIsIjE3Nzc3NyJdLFsicCIsImNvbnZlcnQiLCItcXVhbGl0eSA5MCAtcmVzaXplIDIwMDB4MTQ0MFx1MDAzZSJdXQ.jpg?sha=665c29a7f00abd36","102062","New on view"
"Dorothea Tanning","Third Peril (Troisième péril) from The 7 Spectral Perils (Les 7 périls spectraux)","If you would like to reproduce an image of a work of art in MoMA’s collection, or an image of a MoMA publication or archival material (including installation views, checklists, and press releases), please contact Art Resource (publication in North America) or Scala Archives (publication in all other geographic locations).
MoMA licenses archival audio and select out of copyright film clips from our film collection. At this time, MoMA produced video cannot be licensed by MoMA/Scala. All requests to license archival audio or out of copyright film clips should be addressed to Scala Archives at [email protected]. Motion picture film stills cannot be licensed by MoMA/Scala. For access to motion picture film stills for research purposes, please contact the Film Study Center at [email protected]. For more information about film loans and our Circulating Film and Video Library, please visit https://www.moma.org/research-and-learning/circulating-film.
If you would like to reproduce text from a MoMA publication, please email text_permissio[email protected]. If you would like to publish text from MoMA’s archival materials, please fill out this permission form and send to [email protected].","1950","One from a portfolio of seven lithographs","composition (irreg.): 14 13/16 × 10 13/16"" (37.6 × 27.5 cm); sheet: 19 3/4 × 12 13/16"" (50.2 × 32.5 cm)","© 2022 Artists Rights Society (ARS), New York / VG Bild-Kunst, Bonn","Purchase","Drawings and Prints"," Floor 5"," 517","https://www.moma.org/media/W1siZiIsIjE3Nzc3OCJdLFsicCIsImNvbnZlcnQiLCItcXVhbGl0eSA5MCAtcmVzaXplIDIwMDB4MTQ0MFx1MDAzZSJdXQ.jpg?sha=a499d891d53e1c8e","102063","New on view"
"Bill Brandt","Coach Party, Royal Hunt Cup Day, Ascot","In 2018–19, MoMA collaborated with Google Arts & Culture Lab on a project using machine learning to identify artworks in installation photos. That project has concluded, and works are now being identified by MoMA staff.
If you notice an error, please contact us at [email protected].","1933","Gelatin silver print","7 7/8 × 9 15/16"" (20 × 25.3 cm)","© 2022 Estate of Bill Brandt","Acquired through the generosity of Michèle Gerber Klein","Photography"," Floor 5"," 510","https://www.moma.org/media/W1siZiIsIjE4NDM4MSJdLFsicCIsImNvbnZlcnQiLCItcXVhbGl0eSA5MCAtcmVzaXplIDIwMDB4MTQ0MFx1MDAzZSJdXQ.jpg?sha=e193b44058939df0","104211","On view"
"Dan Perjovschi","Wonderful World (A)","If you would like to reproduce an image of a work of art in MoMA’s collection, or an image of a MoMA publication or archival material (including installation views, checklists, and press releases), please contact Art Resource (publication in North America) or Scala Archives (publication in all other geographic locations).
MoMA licenses archival audio and select out of copyright film clips from our film collection. At this time, MoMA produced video cannot be licensed by MoMA/Scala. All requests to license archival audio or out of copyright film clips should be addressed to Scala Archives at [email protected]. Motion picture film stills cannot be licensed by MoMA/Scala. For access to motion picture film stills for research purposes, please contact the Film Study Center at [email protected]. For more information about film loans and our Circulating Film and Video Library, please visit https://www.moma.org/research-and-learning/circulating-film.
If you would like to reproduce text from a MoMA publication, please email [email protected]. If you would like to publish text from MoMA’s archival materials, please fill out this permission form and send to [email protected].","1994–97","Sixty pencil and ink multilayered drawings on paper","each: 11 7/8 x 8 3/8"" (30.2 x 21.3 cm)","© 2022  Dan Perjovschi","Purchased with funds provided by the Friends of Contemporary Drawing","Drawings and Prints"," Floor 2"," 208","https://www.moma.org/media/W1siZiIsIjQ3MDY0OCJdLFsicCIsImNvbnZlcnQiLCItcXVhbGl0eSA5MCAtcmVzaXplIDIwMDB4MTQ0MFx1MDAzZSJdXQ.jpg?sha=041f5429faab106d","105856","New on view"
"Maya Deren","A Study in Choreography for Camera","If you would like to reproduce an image of a work of art in MoMA’s collection, or an image of a MoMA publication or archival material (including installation views, checklists, and press releases), please contact Art Resource (publication in North America) or Scala Archives (publication in all other geographic locations).
MoMA licenses archival audio and select out of copyright film clips from our film collection. At this time, MoMA produced video cannot be licensed by MoMA/Scala. All requests to license archival audio or out of copyright film clips should be addressed to Scala Archives at [email protected]. Motion picture film stills cannot be licensed by MoMA/Scala. For access to motion picture film stills for research purposes, please contact the Film Study Center at [email protected]. For more information about film loans and our Circulating Film and Video Library, please visit https://www.moma.org/research-and-learning/circulating-film.
If you would like to reproduce text from a MoMA publication, please email [email protected]. If you would like to publish text from MoMA’s archival materials, please fill out this permission form and send to [email protected].","1945","16mm film transferred to video (black and white, silent)","","","The Museum of Modern Art, New York, 1970","Film"," Floor 4"," 401","https://www.moma.org/media/W1siZiIsIjQ3NDkxOCJdLFsicCIsImNvbnZlcnQiLCItcXVhbGl0eSA5MCAtcmVzaXplIDIwMDB4MTQ0MFx1MDAzZSJdXQ.jpg?sha=ab4f05ad6df4d4b2","107407","On view"
"Marcel L'Herbier","Excerpt from ""L'Inhumaine""","If you would like to reproduce an image of a work of art in MoMA’s collection, or an image of a MoMA publication or archival material (including installation views, checklists, and press releases), please contact Art Resource (publication in North America) or Scala Archives (publication in all other geographic locations).
MoMA licenses archival audio and select out of copyright film clips from our film collection. At this time, MoMA produced video cannot be licensed by MoMA/Scala. All requests to license archival audio or out of copyright film clips should be addressed to Scala Archives at [email protected]. Motion picture film stills cannot be licensed by MoMA/Scala. For access to motion picture film stills for research purposes, please contact the Film Study Center at [email protected]. For more information about film loans and our Circulating Film and Video Library, please visit https://www.moma.org/research-and-learning/circulating-film.
If you would like to reproduce text from a MoMA publication, please email [email protected]. If you would like to publish text from MoMA’s archival materials, please fill out this permission form and send to [email protected].","1924","Digital transfer of 35mm film (black and white with color tinting and toning, silent)","","","The Museum of Modern Art, New York, 1978. Digital restoration by Lobster Films","Film"," Floor 5"," 513","https://www.moma.org/media/W1siZiIsIjQ5MzQ5NyJdLFsicCIsImNvbnZlcnQiLCItcXVhbGl0eSA5MCAtcmVzaXplIDIwMDB4MTQ0MFx1MDAzZSJdXQ.jpg?sha=ad8a81641315652f","107617","On view"
"Daniel Buren","White acrylic painting on white and anthracite gray striped fabric","In 2018–19, MoMA collaborated with Google Arts & Culture Lab on a project using machine learning to identify artworks in installation photos. That project has concluded, and works are now being identified by MoMA staff.
If you notice an error, please contact us at [email protected].","1966","Acrylic on striped cotton fabric","7' 5 3/4"" x 6' 5 5/8"" (228 x 197 cm)","© 2022 Daniel Buren / Artists Rights Society (ARS), New York / ADAGP, Paris","Nina and Gordon Bunshaft Bequest and the Philip L. Goodwin Collection Funds (both by exchange)","Painting and Sculpture"," Floor 4"," 413","https://www.moma.org/media/W1siZiIsIjE5Nzc2OCJdLFsicCIsImNvbnZlcnQiLCItcXVhbGl0eSA5MCAtcmVzaXplIDIwMDB4MTQ0MFx1MDAzZSJdXQ.jpg?sha=6fb7177120b1e366","108290","On view"
"León Ferrari","Nosotros no sabíamos (We Didn't Know)","This is an incomplete summary of some of the articles that the newspapers published in 1976 about the first period of repression unleashed by the Videla military junta. They are articles that managed to get through the filter of censorship, or that were allowed to get through as messengers of terror. Although they are far from encompassing all of the crimes committed by our FFAA [Armed Forces], they give an idea of the climate that the population experienced and the level of knowledge had by those who justified the crimes with, “it will be for something,” the new criminal code of the oppressors and their parishes, an expression that after the trials they replaced with, “we did not know.”
Missing here, but which will be added, is the information that documents the complicity of a good part of the church, a complicity that continued when it asked for the pardon of the condemned and that manifested again when the Nuncio Calabresi invited those pardoned but not acquitted, to toast with the Cardinal Quarracino to the thirty years of the papacy of John Paul II, in October 1991.
From this material, which was compiled in 1976, four copies were published in Brazil that same year, three were published in 1984 also in São Paulo, Brazil, and four others for the exhibition “500 Years of Repression,” realized at the Centro Recoleta in August of 1992.

		Publication excerpt from León Ferrari. Nosotros no sabíamos (We Didn't Know)
Buenos Aires, 1992","1976–92, printed 2007","Series of eighty-two photocopies","page (each): 16 9/16 × 11 3/4"" (42 × 29.8 cm)","© 2022 León Ferrari","Gift of the artist","Drawings and Prints"," Floor 2"," 205","https://www.moma.org/media/W1siZiIsIjQ3OTM4NSJdLFsicCIsImNvbnZlcnQiLCItcXVhbGl0eSA5MCAtcmVzaXplIDIwMDB4MTQ0MFx1MDAzZSJdXQ.jpg?sha=cd6c825215b376f0","109298","On view"
"Mike Disfarmer","Untitled","In 2018–19, MoMA collaborated with Google Arts & Culture Lab on a project using machine learning to identify artworks in installation photos. That project has concluded, and works are now being identified by MoMA staff.
If you notice an error, please contact us at [email protected].","c. 1940","Gelatin silver print","5 1/16 × 3 1/16"" (12.9 × 7.8 cm)","© 2022 Estate of Mike Disfarmer","Gift of Steven Kasher","Photography"," Floor 5"," 520","https://www.moma.org/media/W1siZiIsIjIxOTY2OSJdLFsicCIsImNvbnZlcnQiLCItcXVhbGl0eSA5MCAtcmVzaXplIDIwMDB4MTQ0MFx1MDAzZSJdXQ.jpg?sha=a34c7894d6225cb7","110097","On view"
"Lucy McKenzie","Untitled","These two paintings show the same jumpsuit-clad androgynous figure creating a billboard-sized image. In one, the figure consults a picture in order to paint a large brain on the wall. In the second, again consulting a source, the figure writes the word “brain” in the space on a drawn head where the brain would be. The font recalls the logo of the Braun company, famous for its less-is-more approach to appliance design, but red graffiti is scrawled over the image and McKenzie’s paintings offer a riot of textures and references.

		Gallery label from 2020","2002","Acrylic and oil on canvas","9' 10 1/8"" x 6' 6 3/4"" (300 x 200 cm)","© 2022 Lucy McKenzie","Fund for the Twenty-First Century","Painting and Sculpture"," Floor 2"," 209","https://www.moma.org/media/W1siZiIsIjE1MDUwNSJdLFsicCIsImNvbnZlcnQiLCItcXVhbGl0eSA5MCAtcmVzaXplIDIwMDB4MTQ0MFx1MDAzZSJdXQ.jpg?sha=5c7d3e0ed36ef0d7","110907","On view"
"Garry Winogrand","Untitled from Women are Beautiful","In an era when each roll of film contained 36 exposures and had to be rewound, removed from the camera, and processed, Garry Winogrand was extremely prolific: at his death, he left 2,500 rolls of undeveloped film and 300,000 unedited images. While the previous generation of documentary photographers made pictures in service of social causes, Winogrand and his peers believed that the everyday had value as a photographic subject. Through his distinct and idiosyncratic approach to the medium, he explored the ways in which the camera’s lens changes our vision of the world: “I photograph to see what the world looks like in photographs.”

		Additional text from Seeing Through Photographs online course, Coursera, 2016","1968","Gelatin silver print","8 3/4 × 13 1/16"" (22.2 × 33.2 cm)","© The Estate of Garry Winogrand, courtesy Fraenkel Gallery","Purchase and gift of Barbara Schwartz in memory of Eugene M. Schwartz","Photography"," Floor 4"," 419","https://www.moma.org/media/W1siZiIsIjE5MDczNiJdLFsicCIsImNvbnZlcnQiLCItcXVhbGl0eSA5MCAtcmVzaXplIDIwMDB4MTQ0MFx1MDAzZSJdXQ.jpg?sha=b07b245adc1c3100","111108","On view"
